ids,Pregunta,Respuesta,Metadata
0,"¿Como consulto la vigencia de mi seguro?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
1,"¿Como veo la vigencia de mi seguro?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
2,"¿Como puedo obtener informacion de la vigencia de mi seguro?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
3,"¿Como verifico si mi poliza de seguro esta activa?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
4,"¿Como valido la vigencia de mi poliza de seguro?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
5,"¿Como verifico la vigencia de mi seguro en la pagina de Seguros Bolivar?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
6,"¿Como puedo validar la vigencia de mis polizas con ustedes?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
7,"¿Tengo una poliza con ustedes y no la encuentro dentro de mis productos, como obtengo informacion? Estado del producto. Estado del seguro. Información del seguro o producto","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
8,"¿Como descargo la poliza de mi seguro?,","Estos son los pasos para descargar la poliza de su seguro:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login, y digite su numero de documento y el codigo que le llegara por mensaje de texto a su celular. 
2. Una vez dentro del portal, en el inicio de clic en 'Ver detalle' en el seguro del cual desea descargar la poliza.
3. En esta seccion, encontrara la opcion 'Descargar poliza'. De clic alli para obtener el archivo en formato PDF. 

 ¡Y listo! Ahora puede guardar el archivo PDF en su dispositivo.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
9,"¿Como puedo obtener una copia de la poliza de mi seguro?,","Estos son los pasos para descargar la poliza de su seguro:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login, y digite su numero de documento y el codigo que le llegara por mensaje de texto a su celular. 
2. Una vez dentro del portal, en el inicio de clic en 'Ver detalle' en el seguro del cual desea descargar la poliza.
3. En esta seccion, encontrara la opcion 'Descargar poliza'. De clic alli para obtener el archivo en formato PDF. 

 ¡Y listo! Ahora puede guardar el archivo PDF en su dispositivo.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
10,"¿Como obtengo una copia con los terminos y condiciones de mi poliza?,","Estos son los pasos para descargar la poliza de su seguro:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login, y digite su numero de documento y el codigo que le llegara por mensaje de texto a su celular. 
2. Una vez dentro del portal, en el inicio de clic en 'Ver detalle' en el seguro del cual desea descargar la poliza.
3. En esta seccion, encontrara la opcion 'Descargar poliza'. De clic alli para obtener el archivo en formato PDF. 

 ¡Y listo! Ahora puede guardar el archivo PDF en su dispositivo.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
11,"¿Cómo puedo descargar mi póliza?,","Estos son los pasos para descargar la poliza de su seguro:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login, y digite su numero de documento y el codigo que le llegara por mensaje de texto a su celular. 
2. Una vez dentro del portal, en el inicio de clic en 'Ver detalle' en el seguro del cual desea descargar la poliza.
3. En esta seccion, encontrara la opcion 'Descargar poliza'. De clic alli para obtener el archivo en formato PDF. 

 ¡Y listo! Ahora puede guardar el archivo PDF en su dispositivo.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
12,"¿cómo puedo consultar las modificaciones que le hice a la póliza?,","Estos son los pasos para descargar la poliza de su seguro:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login, y digite su numero de documento y el codigo que le llegara por mensaje de texto a su celular. 
2. Una vez dentro del portal, en el inicio de clic en 'Ver detalle' en el seguro del cual desea descargar la poliza.
3. En esta seccion, encontrara la opcion 'Descargar poliza'. De clic alli para obtener el archivo en formato PDF. 

 ¡Y listo! Ahora puede guardar el archivo PDF en su dispositivo.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
13,"¿Cómo puedo tener una copia de mi póliza?,","Estos son los pasos para descargar la poliza de su seguro:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login, y digite su numero de documento y el codigo que le llegara por mensaje de texto a su celular. 
2. Una vez dentro del portal, en el inicio de clic en 'Ver detalle' en el seguro del cual desea descargar la poliza.
3. En esta seccion, encontrara la opcion 'Descargar poliza'. De clic alli para obtener el archivo en formato PDF. 

 ¡Y listo! Ahora puede guardar el archivo PDF en su dispositivo.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
14,¿Cómo consulto el nombre de los beneficiarios en mi póliza?,"Estos son los pasos para descargar la poliza de su seguro:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login, y digite su numero de documento y el codigo que le llegara por mensaje de texto a su celular. 
2. Una vez dentro del portal, en el inicio de clic en 'Ver detalle' en el seguro del cual desea descargar la poliza.
3. En esta seccion, encontrara la opcion 'Descargar poliza'. De clic alli para obtener el archivo en formato PDF. 

 ¡Y listo! Ahora puede guardar el archivo PDF en su dispositivo.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
15,"¿Que es una prima?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
