ids,Pregunta,Respuesta,Metadata
0,"¿Como consulto la vigencia de mi seguro?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
1,"¿Como veo la vigencia de mi seguro?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
2,"¿Como puedo obtener informacion de la vigencia de mi seguro?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
3,"¿Como verifico si mi poliza de seguro esta activa?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
4,"¿Como valido la vigencia de mi poliza de seguro?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
5,"¿Como verifico la vigencia de mi seguro en la pagina de Seguros Bolivar?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
6,"¿Como puedo validar la vigencia de mis polizas con ustedes?,","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
7,"¿Tengo una poliza con ustedes y no la encuentro dentro de mis productos, como obtengo informacion? Como esta el estado de mi poliza. Información del seguro. Información del producto","Para consultar la vigencia de su seguro, siga estos pasos:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login
2. Dentro del portal, en el inicio encontrara un listado de todos sus seguros vigentes.
3. Seleccione el seguro que desea consultar y de clic en 'Ver detalle', aqui encontrara informacion detallada sobre la vigencia de su seguro.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
8,"¿Como descargo la poliza de mi seguro?,","Estos son los pasos para descargar la poliza de su seguro:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login, y digite su numero de documento y el codigo que le llegara por mensaje de texto a su celular. 
2. Una vez dentro del portal, en el inicio de clic en 'Ver detalle' en el seguro del cual desea descargar la poliza.
3. En esta seccion, encontrara la opcion 'Descargar poliza'. De clic alli para obtener el archivo en formato PDF. 

 ¡Y listo! Ahora puede guardar el archivo PDF en su dispositivo.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
9,"¿Como puedo obtener una copia de la poliza de mi seguro?,","Estos son los pasos para descargar la poliza de su seguro:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login, y digite su numero de documento y el codigo que le llegara por mensaje de texto a su celular. 
2. Una vez dentro del portal, en el inicio de clic en 'Ver detalle' en el seguro del cual desea descargar la poliza.
3. En esta seccion, encontrara la opcion 'Descargar poliza'. De clic alli para obtener el archivo en formato PDF. 

 ¡Y listo! Ahora puede guardar el archivo PDF en su dispositivo.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
